station_id,latitude,longitude,elevation,declination,declination_model,comments,channels_recorded,start_time,end_time,sample_rate,n_runs,instrument,mth5_file,duration_days
VIC001,-38.91854,146.44154,90.0,12.45,AGRF,"Ex and Ey dipoles deployed in S-N and W-E directions, channels 0-2 (magnetic fields) and 3-5 (electric fields) were swapped .","['bx', 'by', 'bz', 'ex', 'ey']",2014-04-11 06:00:00+00:00,2014-05-08 00:59:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC001.h5,26.791665509259257
VIC002,-38.34441,142.4666,33.0,10.583,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-05-13 00:00:00+00:00,2014-06-06 03:59:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC002.h5,24.166665509259257
VIC003,-38.51675,142.97397,50.0,10.85,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-05-12 03:00:00+00:00,2014-06-06 22:59:59.900000+00:00,10.0,5,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC003.h5,25.833332175925925
VIC004R,-38.53071,143.494243,100.8,11.093,AGRF,,"['bx', 'by', 'bz', 'ex', 'ey', 'temperature_e', 'temperature_h']",2017-12-14 03:20:00+00:00,2018-01-19 22:06:37+00:00,1.0,1,LEMI-424,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\LEMI_MTH5\VIC004R.h5,36.78237268518519
VIC005,-38.51191,143.98602,184.0,11.45,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-05-11 00:00:00+00:00,2014-05-28 22:59:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC005.h5,17.958332175925925
VIC006,-38.44941,144.99806,120.0,11.75,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-04-06 07:00:00+00:00,2014-05-08 21:59:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC006.h5,32.62499884259259
VIC007,-38.49665,145.51129,,12.0,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-05-08 08:00:00+00:00,2014-05-26 17:59:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC007.h5,18.416665509259257
VIC008,-38.50123,145.99519,46.0,12.218,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-04-09 02:00:00+00:00,2014-05-07 21:59:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC008.h5,28.833332175925925
VIC009R,-38.513007,146.518,309.3,12.501,AGRF,,"['bx', 'by', 'bz', 'ex', 'ey', 'temperature_e', 'temperature_h']",2017-12-18 00:00:00+00:00,2018-01-19 22:30:32+00:00,1.0,1,LEMI-424,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\LEMI_MTH5\VIC009R.h5,32.93787037037037
VIC010,-38.46585,147.02672,3.0,12.46,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-04-11 05:00:00+00:00,2014-05-07 01:59:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC010.h5,25.874998842592593
VIC011,-38.03095,141.02692,30.0,9.81,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-05-18 07:00:00+00:00,2014-06-09 21:59:59.900000+00:00,10.0,2,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC011.h5,22.624998842592593
VIC012R,-37.993583,141.504748,80.4,9.865,AGRF,,"['bx', 'by', 'bz', 'ex', 'ey', 'temperature_e', 'temperature_h']",2017-12-18 00:00:00+00:00,2018-01-20 23:59:59+00:00,1.0,1,LEMI-424,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\LEMI_MTH5\VIC012R.h5,33.99998842592593
VIC013,-37.95552,141.50978,156.0,10.037,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-05-16 04:00:00+00:00,2014-06-10 04:25:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC013.h5,25.01805439814815
VIC014,-37.98032,142.46696,121.0,10.457,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-04-15 00:00:00+00:00,2014-05-13 03:55:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC014.h5,28.16388773148148
VIC015,-37.96734,143.01093,126.0,10.902,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-04-15 03:00:00+00:00,2014-05-13 05:59:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC015.h5,28.124998842592593
VIC016R,-37.935005,143.462277,188.6,10.725,AGRF,,"['bx', 'by', 'bz', 'ex', 'ey', 'temperature_e', 'temperature_h']",2017-12-13 05:55:00+00:00,2018-01-19 23:59:59+00:00,1.0,1,LEMI-424,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\LEMI_MTH5\VIC016R.h5,37.75346064814815
